Main.food.description,Ingredient code
"Fast foods, potato, mashed",21139
"Fast food, biscuit",21142
"Fast foods, submarine sandwich, sweet onion chicken teriyaki on white bread with lettuce, tomato and sweet onion sauce",21151
"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",21153
"Fast foods, submarine sandwich, oven roasted chicken on white bread with lettuce and tomato",21154
"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",21155
"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",21156
"Fast foods, submarine sandwich, meatball marinara on white bread",21158
"Fast foods, submarine sandwich, steak and cheese on white bread with cheese, lettuce and tomato",21160
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",21162
"Fast foods, hamburger, large, single patty, with condiments",21202
"Pizza, cheese topping, regular crust, frozen, cooked",21224
"Pizza, cheese topping, rising crust, frozen, cooked",21225
"Pizza, meat and vegetable topping, regular crust, frozen, cooked",21226
"Pizza, meat and vegetable topping, rising crust, frozen, cooked",21227
"Fast foods, chicken, breaded and fried, boneless pieces, plain",21229
"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",21230
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",21299
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thick crust",21300
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",21301
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",21302
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",21303
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",21304
"Fast foods, griddle cake sandwich, egg, cheese, and sausage",21305
"Fast foods, griddle cake sandwich, sausage",21306
"Fast foods, griddle cake sandwich, egg, cheese, and bacon",21307
"Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise",21389
"Fast foods, hamburger; single, large patty; with condiments, vegetables and mayonnaise",21390
"Fast foods, cheeseburger; double, regular patty; with condiments",21395
"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",21397
"Fast foods, cheeseburger; single, large patty; with condiments",21398
"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",21400
"Fast foods, chicken tenders",21401
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",21410
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",21411
"Light Ice Cream, soft serve, blended with cookie pieces",21413
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",21461
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",21462
"Yogurt parfait, lowfat, with fruit and granola",21463
"Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",21464
"Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",21465
"Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",21466
"Fast Foods, Fried Chicken, Breast, meat and skin and breading",21469
"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",21470
"Fast Foods, Fried Chicken, Thigh, meat and skin and breading",21471
"Fast Foods, Fried Chicken, Wing, meat and skin and breading",21472
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",21482
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thin crust",21483
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",21484
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thin crust",21485
"Fast foods, taco with beef, cheese and lettuce, soft",21486
"Fast foods, taco with chicken, lettuce and cheese, soft",21487
"Fast foods, quesadilla, with chicken",21488
"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",21490
"Pizza, cheese topping, thin crust, frozen, cooked",21505
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",21511
"Fast foods, breakfast burrito, with egg, cheese, and sausage",21519
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",21520
"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",21521
"School Lunch, pizza, cheese topping, thin crust, whole grain, frozen, cooked",21600
"School Lunch, pizza, cheese topping, thick crust, whole grain, frozen, cooked",21601
"School Lunch, pizza, pepperoni topping, thin crust, whole grain, frozen, cooked",21602
"School Lunch, pizza, pepperoni topping, thick crust, whole grain, frozen, cooked",21603
"School Lunch, pizza, sausage topping, thin crust, whole grain, frozen, cooked",21604
"School Lunch, pizza, sausage topping, thick crust, whole grain, frozen, cooked",21605
"School Lunch, chicken nuggets, whole grain breaded",21611
"Macaroni and Cheese, canned entree",22247
"HOT POCKETS, CROISSANT POCKETS Chicken, Broccoli, and Cheddar Stuffed Sandwich, frozen",22535
"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen",22537
"Ravioli, cheese-filled, canned",22899
"Ravioli, meat-filled, with tomato sauce or meat sauce, canned",22900
"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",22901
"Chili con carne with beans, canned entree",22904
"Beef stew, canned entree",22905
"Chicken pot pie, frozen entree, prepared",22906
"Beef, corned beef hash, with potato, canned",22908
"Lasagna, cheese, frozen, prepared",22910
"Chili, no beans, canned entree",22911
"Lasagna with meat & sauce, frozen entree",22916
"Egg rolls, pork, refrigerated, heated",22953
"Egg rolls, chicken, refrigerated, heated",22954
"Egg rolls, vegetable, frozen, prepared",22955
"Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",22957
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)",22958
"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",22959
"HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen",22961
"LEAN POCKETS, Ham N Cheddar",22962
Potato salad with egg,22971
"Corn dogs, frozen, prepared",22973
"Chicken, nuggets, dark and white meat, precooked, frozen, not reheated",22974
"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",22976
"Chicken tenders, breaded, frozen, prepared",22978
"Rice and vermicelli mix, chicken flavor, unprepared",22998
"Snacks, popcorn, microwave, low fat",25001
"Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor",25013
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush",25015
"Formulated bar, POWER BAR, chocolate",25017
"Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut",25020
"Pretzels, soft, unsalted",25024
"Snacks, soy chips or crisps, salted",25025
"Popcorn, microwave, regular (butter) flavor, made with palm oil",25026
"Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS",25030
"Formulated bar, ZONE PERFECT CLASSIC CRUNCH BAR, mixed flavors",25031
"Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors",25032
"Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors",25033
"Snacks, granola bar, chewy, reduced sugar, all flavors",25035
"Snacks, granola bites, mixed flavors",25036
"Snacks, pita chips, salted",25037
"Snacks, granola bars, soft, almond, confectioners coating",25038
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors",25039
"Snacks, vegetable chips, made from garden vegetables",25040
"Snacks, candy bits, yogurt covered with vitamin C",25043
"Formulated bar, high fiber, chewy, oats and chocolate",25045
"Snacks, bagel chips, plain",25046
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",25048
"Snacks, CLIF BAR, mixed flavors",25051
"Snacks, granola bar, QUAKER, chewy, 90 Calorie Bar",25052
"Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut",25053
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",25054
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX",25055
"Snacks, granola bar, QUAKER, DIPPS, all flavors",25056
"Snacks, brown rice chips",25059
"Snack, Pretzel, hard chocolate coated",25060
"Snacks, potato chips, made from dried potatoes (preformed), multigrain",25063
"Snacks, potato chips, lightly salted",25064
"Snacks, Pretzels, gluten- free made with cornstarch and potato flour",25065
"Formulated Bar, SOUTH BEACH protein bar",25067
"Snack, BALANCE, original bar",25068
"Snacks, shrimp cracker",25070
Rice crackers,25071
"Soup, egg drop, Chinese restaurant",27000
"Soup, hot and sour, Chinese restaurant",27001
"Soup, wonton, Chinese restaurant",27002
"Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium",27035
"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",27043
"Soup, chicken noodle, reduced sodium, canned, ready-to-serve",27044
"Sauce, duck, ready-to-serve",27046
"Sauce, salsa, verde, ready-to-serve",27047
"Sauce, steak, tomato based",27048
"Sauce, tartar, ready-to-serve",27049
"Sauce, sweet and sour, ready-to-serve",27050
"Sauce, cocktail, ready-to-serve",27051
"Dip, salsa con queso, cheese and salsa- medium",27052
"Sauce, peanut, made from peanut butter, water, soy sauce",27059
"Soup, chunky vegetable, reduced sodium, canned, ready-to-serve",27060
"Soup, beef barley, ready to serve",27062
"Sauce, enchilada, red, mild, ready to serve",27063
"Dip, bean, original flavor",27065
"Bread, chapati or roti, whole wheat, commercially prepared, frozen",28285
"Bread, paratha, whole wheat, commercially prepared, frozen",28286
"Bread, naan, whole wheat, commercially prepared, refrigerated",28287
"Bread, roll, Mexican, bollilo",28288
"Cookie, vanilla with caramel, coconut, and chocolate coating",28289
"Cookie, with peanut butter filling, chocolate-coated",28290
"Cookies, animal, with frosting or icing",28291
"Crackers, multigrain",28292
"Cookie, butter or sugar, with chocolate icing or filling",28293
"Cookie, chocolate, with icing or coating",28294
"Tortillas, ready-to-bake or -fry, whole wheat",28295
"Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, with added fiber",28296
"Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber",28297
"Cookies, brownies, commercially prepared, reduced fat, with added fiber",28298
"Cookies, chocolate sandwich, with creme filling, reduced fat",28299
"Cookies, oatmeal sandwich, with creme filling",28300
"Cookies, peanut butter, commercially prepared, sugar free",28301
"Cookies, graham crackers, plain or honey, lowfat",28302
"Crackers, cheese, whole grain",28303
"Waffles, whole wheat, lowfat, frozen, ready-to-heat",28304
"Cookies, coconut macaroon",28309
"Cookies, shortbread, reduced fat",28310
"Cookies, sugar wafer, chocolate-covered",28311
"Rolls, hamburger or hot dog, wheat/cracked wheat",28312
"Rolls, hamburger or hot dog, whole wheat",28313
"Crackers, sandwich-type, peanut butter filled, reduced fat",28314
"Bread, cinnamon",28315
"Bread, wheat, sprouted",28316
"Bread, french or vienna, whole wheat",28318
"Rolls, hamburger, whole grain white, calcium-fortified",28321
"Pancakes, whole wheat, dry mix, incomplete",28324
"Crackers, whole grain, sandwich-type, with peanut butter filling",28326
"Crackers, water biscuits",28327
"Cookies, chocolate chip sandwich, with creme filling",28328
"Cookies, chocolate, made with rice cereal",28329
"Cookies, marshmallow, with rice cereal and chocolate chips",28330
"Cookies, gluten-free, chocolate sandwich, with creme filling",28332
"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca",28337
"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",28341
"Crackers, gluten-free, multi-seeded and multigrain",28345
"Waffles, gluten-free, frozen, ready-to-heat",28346
"Pancakes, gluten-free, frozen, ready-to-heat",28347
"Rolls, dinner, sweet",28348
"Cookies, oatmeal, reduced fat",28349
"Cookies, chocolate cream covered biscuit sticks",28350
"Cookies, Marie biscuit",28351
"Cookies, vanilla sandwich with creme filling, reduced fat",28352
"Bread, multi-grain (includes whole-grain)",28397
"Cookies, animal crackers (includes arrowroot, tea biscuits)",28399
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",31023
"Peppers, hot pickled, canned",31034
"Potatoes, mashed, ready-to-eat",31036
"Rice and vermicelli mix, rice pilaf flavor, unprepared",32002
"Taquitos, frozen, chicken and cheese, oven-heated",32006
"Taquitos, frozen, beef and cheese, oven-heated",32007
"Pasta mix, classic cheeseburger macaroni, unprepared",32008
"Pasta mix, classic beef, unprepared",32009
"Pasta mix, Italian lasagna, unprepared",32010
"Yellow rice with seasoning, dry packet mix, unprepared",32011
"Pizza rolls, frozen, unprepared",32012
"Potsticker or wonton, pork and vegetable, frozen, unprepared",32013
"Macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared",32014
"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared",32015
"Macaroni or noodles with cheese, microwaveable, unprepared",32016
"Rice mix, cheese flavor, dry mix, unprepared",32024
"Dumpling, potato- or cheese-filled, frozen",32025
"Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",32026
"Turnover, meat- and cheese-filled, tomato-based sauce, reduced fat, frozen",32027
"Turnover, filled with egg, meat and cheese, frozen",32028
"Salisbury steak with gravy, frozen",32031
"Sausage, egg and cheese breakfast biscuit",32032
"Restaurant, family style, fried mozzarella sticks",36012
"Restaurant, family style, french fries",36014
"Restaurant, family style, shrimp, breaded and fried",36016
"Restaurant, family style, macaroni & cheese, from kids' menu",36017
"Restaurant, family style, fish fillet, battered or breaded, fried",36033
"Restaurant, family style, coleslaw",36035
"Restaurant, family style, chili with meat and beans",36037
"Restaurant, Italian, lasagna with meat",36041
"Restaurant, Latino, empanadas, beef, prepared",36403
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",36409
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",36410
"Restaurant, Latino, tamale, corn",36411
"Restaurant, Mexican, spanish rice",36417
"Restaurant, Mexican, refried beans",36418
"Restaurant, Chinese, fried rice, without meat",36602
"Restaurant, Chinese, general tso's chicken",36618
"Restaurant, Chinese, kung pao chicken",36619
"Restaurant, Chinese, sweet and sour chicken",36621
"Restaurant, Chinese, vegetable chow mein, without meat or noodles",36624
"Restaurant, Chinese, vegetable lo mein, without meat",36625
"Restaurant, Chinese, chicken and vegetables",36626
"Restaurant, Chinese, orange chicken",36629
"Restaurant, Chinese, sesame chicken",36633
"Syrups, grenadine",42040
"Fruit-flavored drink, dry powdered mix, low calorie, with aspartame",42055
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",42116
"Imitation cheese, american or cheddar, low cholesterol",42117
"Turkey ham, sliced, extra lean, prepackaged or deli-sliced",42128
"Milk dessert, frozen, milk-fat free, chocolate",42131
"Granola bar, soft, milk chocolate coated, peanut butter",42139
"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",42148
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",42157
"Bologna, beef, low fat",42161
"Turkey and pork sausage, fresh, bulk, patty or link, cooked",42173
"Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars",42183
"Salad dressing, blue or roquefort cheese dressing, fat-free",42192
"Salad Dressing, mayonnaise-like, fat-free",42193
"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",42196
Papad,42200
"Rice cake, cracker (include hain mini rice cakes)",42204
"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies",42227
"Salad Dressing, coleslaw dressing, reduced fat",42230
"Oil, flaxseed, cold pressed",42231
"Cereals ready-to-eat, frosted oat cereal with marshmallows",42236
"Cereals ready-to-eat, WEETABIX whole grain cereal",42237
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",42240
"Snacks, popcorn, home-prepared, oil-popped, unsalted",42259
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",42261
"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan",42265
"Snacks, granola bar, with coconut, chocolate coated",42272
"Frankfurter, meat and poultry, low fat",42280
"Snacks, potato chips, white, restructured, baked",42283
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",42297
"Salad dressing, caesar dressing, regular",43015
"Salad dressing, coleslaw",43016
"Salad dressing, green goddess, regular",43017
"Salad dressing, blue or roquefort cheese, low calorie",43020
"Salad dressing, caesar, low calorie",43021
"Syrups, sugar free",43026
"Jellies, no sugar (with sodium saccharin), any flavors",43027
"Candies, chocolate covered, caramel with nuts",43031
"Candies, nougat, with almonds",43046
"Candies, gum drops, no sugar or low calorie (sorbitol)",43057
"Candies, hard, dietetic or low calorie (sorbitol)",43058
"Candies, chocolate covered, low sugar or low calorie",43059
"Breakfast bars, oats, sugar, raisins, coconut (include granola bar)",43100
"Vermicelli, made from soy",43114
"Beans, liquid from stewed kidney beans",43125
"Chicken, meatless",43128
"Frankfurter, meatless",43130
"Luncheon slices, meatless",43131
"Meatballs, meatless",43132
"Sandwich spread, meatless",43135
Vegetarian meatloaf or patties,43137
"Bacon bits, meatless",43212
"Butter replacement, without fat, powder",43214
"Cereals ready-to-eat, ALPEN",43218
"Cereals ready-to-eat, FAMILIA",43241
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",43245
"Soybean, curd cheese",43299
"Salad dressing, bacon and tomato",43331
"Jams, preserves, marmalade, reduced sugar",43344
"Fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",43345
"Frozen novelties, juice type, orange",43346
"Tomato and vegetable juice, low sodium",43365
"Chocolate-flavored drink, whey and milk based",43369
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",43393
"Cranberry-apple juice drink, low calorie, with vitamin C added",43404
"Chicken, meatless, breaded, fried",43410
"Rolls, pumpernickel",43441
"Frozen novelties, juice type, juice with cream",43450
Tofu yogurt,43476
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",43495
"Frozen novelties, ice cream type, chocolate or caramel covered, with nuts",43506
"Frankfurter, low sodium",43507
"Frozen novelties, ice type, pop, with low calorie sweetener",43514
"Puddings, chocolate flavor, low calorie, instant, dry mix",44061
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",44203
"Puddings, all flavors except chocolate, low calorie, instant, dry mix",44260
"REDUCED SODIUM: Salami, dry or hard, pork, beef",907072
"REDUCED SODIUM: Bologna, meat and poultry",907971
"REDUCED SODIUM: Pepperoni, beef and pork, sliced",907057
"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",8054
"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",8220
"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",8571
"Crackers, cheese, low sodium",18434
"School Lunch, chicken patty, whole grain breaded",21610
"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",15089
"Chili with beans, canned",16059